THP,Max_Power,Seebeck_Coefficient
323.15,3.3884742947519346e-07,-1.5648211655699508e-05
373.15,2.4630859192152637e-06,-1.7458507900363763e-05
423.15,8.2882407211389e-06,-1.9374883476616522e-05
473.15,1.935880007511462e-05,-2.116930693912542e-05
523.15,3.734883129401603e-05,-2.2918547877990446e-05
573.15,6.474249651923718e-05,-2.4664022390592753e-05
623.15,0.00010420746462943242,-2.6339058879438403e-05
673.15,0.0001559682849090063,-2.784200532729641e-05
723.15,0.00021574145332300482,-2.9091641993222516e-05
773.15,0.0002777996440690267,-3.002191215159381e-05
