THP,Seebeck_Coefficient
323.15,-1.5648211655699508e-05
373.15,-1.7458507900363763e-05
423.15,-1.9374883476616522e-05
473.15,-2.116930693912542e-05
523.15,-2.2918547877990446e-05
573.15,-2.4664022390592753e-05
623.15,-2.6339058879438403e-05
673.15,-2.784200532729641e-05
723.15,-2.9091641993222516e-05
773.15,-3.002191215159381e-05
