THP,delT_at_I0=0.0A,delT_at_I0=0.5A,delT_at_I0=1.0A,delT_at_I0=1.5A,delT_at_I0=2.0A,
323.15,8.215865860556278,7.595274054088748,6.378518560880252,4.600121298666693,2.2593322035451138,
373.15,21.68250933329182,20.966515380160104,19.673746681942134,17.817323984546192,15.391363838279915,
423.15,36.27183237042766,35.44509211619703,34.01180520203752,31.9918300398499,29.375588071892594,
473.15,51.71001770885721,50.753407817645325,49.15270265932895,46.933971493766194,44.08550832809294,
523.15,67.5883404862879,66.45367998719377,64.71206051643117,62.286580633751385,59.20288805463241,
573.15,83.40424284860063,82.11621485396722,80.16485009369904,77.55110483351359,74.31321596648388,
623.15,98.96948808460024,97.5290008993569,95.42096352296642,92.64917643433228,89.2078549342981,
673.15,114.32783509442879,112.7251893186276,110.47628814912616,107.6097598094832,104.01524685611514,
723.15,129.45776906129106,127.70315167536103,125.29732152193026,122.27502132906363,118.50320590536592,
773.15,144.26317193750504,142.35843525028952,139.86709330955352,136.59499411546346,132.52858957429464,
