THP,I,V
323.15,0.0,-0.04057205361128235
323.15,0.5,3.4324093666656434
323.15,1.0,6.907877296881769
323.15,1.5,10.38650412345903
323.15,2.0,13.868635915027077
373.15,0.0,-0.12190980598993442
373.15,0.5,3.3905937190780833
373.15,1.0,6.9057651558713555
373.15,1.5,10.424085638309924
373.15,2.0,13.945827351841583
423.15,0.0,-0.23105050376731814
423.15,0.5,3.3608391382457143
423.15,1.0,6.956586621959474
423.15,1.5,10.557435486444355
423.15,2.0,14.164132893539094
473.15,0.0,-0.3656946579751487
473.15,0.5,3.3377952801989736
473.15,1.0,7.0452734269930435
473.15,1.5,10.758332061877892
473.15,2.0,14.477611771682586
523.15,0.0,-0.5226924630542077
523.15,0.5,3.2188186139480917
523.15,1.0,6.96499966619415
523.15,1.5,10.713337749433203
523.15,2.0,14.464901286356577
573.15,0.0,-0.6966782688901806
573.15,0.5,2.9962295328592834
573.15,1.0,6.691801891746072
573.15,1.5,10.389974893163465
573.15,2.0,14.09336835702276
623.15,0.0,-0.8823035900174866
623.15,0.5,2.791185581817722
623.15,1.0,6.4705612174313565
623.15,1.5,10.153262093039999
623.15,2.0,13.841342481727386
673.15,0.0,-1.072752290930879
673.15,0.5,2.683866250807207
673.15,1.0,6.447492155132319
673.15,1.5,10.218631409827085
673.15,2.0,13.999406904725095
723.15,0.0,-1.2572871655812383
723.15,0.5,2.6549880013085243
723.15,1.0,6.575534825355733
723.15,1.5,10.507790364998613
723.15,2.0,14.452623606570462
773.15,0.0,-1.4247321847401369
773.15,0.5,2.65848513291951
773.15,1.0,6.7506416097486825
773.15,1.5,10.854774500215857
773.15,2.0,14.971707889635594
