THP,I,P
323.15,0.0,0.0
323.15,0.001389528119456621,0.047060167138524005
323.15,0.002779056238913242,0.0672649902351275
323.15,0.004168584358369863,0.06061446928981048
323.15,0.005558112477826484,0.027108604302572958
323.15,0.006947640597283105,-0.03325260472658509
323.15,0.008337168716739726,-0.12046915779766366
323.15,0.009726696836196346,-0.23454105491066274
323.15,0.011116224955652967,-0.37546829606558224
323.15,0.012505753075109588,-0.5432508812624223
323.15,0.01389528119456621,-0.7378888105011829
323.15,0.01528480931402283,-0.959382083781864
323.15,0.01667433743347945,-1.2077307011044656
323.15,0.01806386555293607,-1.4829346624689876
323.15,0.019453393672392693,-1.7849939678754307
323.15,0.020842921791849316,-2.113908617323794
323.15,0.022232449911305935,-2.4696786108140776
323.15,0.023621978030762554,-2.8523039483462806
323.15,0.025011506150219177,-3.2617846299204056
323.15,0.0264010342696758,-3.698120655536452
323.15,0.02779056238913242,-4.161312025194417
323.15,0.029180090508589038,-4.651358738894302
323.15,0.03056961862804566,-5.16826079663611
323.15,0.03195914674750228,-5.7120181984198375
323.15,0.0333486748669589,-6.2826309442454855
323.15,0.03473820298641552,-6.880099034113052
323.15,0.03612773110587214,-7.5044224680225415
323.15,0.03751725922532877,-8.155601245973953
323.15,0.038906787344785386,-8.833635367967283
323.15,0.040296315464242005,-9.53852483400253
323.15,0.04168584358369863,-10.270269644079706
323.15,0.04307537170315525,-11.028869798198793
323.15,0.04446489982261187,-11.814325296359806
323.15,0.04585442794206849,-12.626636138562738
323.15,0.04724395606152511,-13.465802324807587
323.15,0.048633484180981734,-14.331823855094365
323.15,0.05002301230043835,-15.224700729423056
323.15,0.05141254041989497,-16.14443294779367
323.15,0.0528020685393516,-17.09102051020621
323.15,0.05419159665880822,-18.06446341666066
323.15,0.05558112477826484,-19.06476166715704
323.15,0.056970652897721456,-20.091915261695334
323.15,0.058360181017178075,-21.145924200275548
323.15,0.0597497091366347,-22.22678848289769
323.15,0.06113923725609132,-23.334508109561746
323.15,0.06252876537554794,-24.469083080267726
323.15,0.06391829349500457,-25.630513395015626
323.15,0.06530782161446118,-26.81879905380544
323.15,0.0666973497339178,-28.033940056637185
323.15,0.06808687785337443,-29.27593640351085
323.15,0.06947640597283104,-30.544788094426426
323.15,0.07086593409228767,-31.840495129383932
323.15,0.07225546221174428,-33.163057508383346
323.15,0.07364499033120091,-34.51247523142469
323.15,0.07503451845065753,-35.888748298507956
323.15,0.07642404657011415,-37.29187670963314
323.15,0.07781357468957077,-38.721860464800244
323.15,0.0792031028090274,-40.178699564009264
323.15,0.08059263092848401,-41.662394007260204
323.15,0.08198215904794064,-43.172943794553085
323.15,0.08337168716739726,-44.71034892588788
323.15,0.08476121528685387,-46.27460940126457
323.15,0.0861507434063105,-47.8657252206832
323.15,0.08754027152576711,-49.483696384143734
323.15,0.08892979964522374,-51.12852289164621
323.15,0.09031932776468037,-52.80020474319061
323.15,0.09170885588413698,-54.49874193877691
323.15,0.0930983840035936,-56.22413447840514
323.15,0.09448791212305022,-57.97638236207528
323.15,0.09587744024250684,-59.75548558978736
323.15,0.09726696836196347,-61.56144416154136
323.15,0.09865649648142008,-63.39425807733726
323.15,0.1000460246008767,-65.25392733717509
323.15,0.10143555272033333,-67.14045194105485
323.15,0.10282508083978995,-69.05383188897652
323.15,0.10421460895924657,-70.99406718094012
323.15,0.1056041370787032,-72.96115781694564
323.15,0.10699366519815981,-74.95510379699306
323.15,0.10838319331761644,-76.97590512108243
323.15,0.10977272143707305,-79.02356178921369
323.15,0.11116224955652967,-81.09807380138689
323.15,0.1125517776759863,-83.19944115760202
323.15,0.11394130579544291,-85.32766385785904
323.15,0.11533083391489954,-87.48274190215801
323.15,0.11672036203435615,-89.66467529049886
323.15,0.11810989015381278,-91.87346402288169
323.15,0.1194994182732694,-94.10910809930643
323.15,0.12088894639272602,-96.37160751977304
323.15,0.12227847451218264,-98.66096228428161
323.15,0.12366800263163927,-100.9771723928321
323.15,0.12505753075109588,-103.32023784542449
