THP,Seebeck_Coefficient
323.15,-1.5769674046649873e-05
373.15,-1.7819039412715892e-05
423.15,-1.9934498838009822e-05
473.15,-2.192353453518292e-05
523.15,-2.389799050467663e-05
573.15,-2.5852158642308507e-05
623.15,-2.764083561043138e-05
673.15,-2.91333362197949e-05
723.15,-3.024299764419112e-05
773.15,-3.08865199262272e-05
