THP,Seebeck_Coefficient
323.15,-1.57252148682875e-05
373.15,-1.7700288050207195e-05
423.15,-1.9754599653724277e-05
473.15,-2.168091928776647e-05
523.15,-2.3581855442500185e-05
573.15,-2.547566957119972e-05
623.15,-2.7240309755401427e-05
673.15,-2.875063388357016e-05
723.15,-2.9921627003050263e-05
773.15,-3.067767348148119e-05
