THP,I,V
323.15,0.0,-0.06753077358590982
323.15,0.5,4.794657979465003
323.15,1.0,9.661854790019742
323.15,1.5,14.53554247168417
323.15,2.0,19.416604442376514
373.15,0.0,-0.20158073979617525
373.15,0.5,4.7146448634366385
373.15,1.0,9.635896281695716
373.15,1.5,14.563163729965565
373.15,2.0,19.49712744053549
423.15,0.0,-0.37966466636158247
423.15,0.5,4.635309498363061
423.15,1.0,9.65772402396192
423.15,1.5,14.690223347660922
423.15,2.0,19.734713744659
473.15,0.0,-0.5979885162796005
473.15,0.5,4.567393407136293
473.15,1.0,9.740930827569148
473.15,1.5,14.925987603384312
473.15,2.0,20.124405094531465
523.15,0.0,-0.8523884966038544
523.15,0.5,4.387594894689793
523.15,1.0,9.63637735985183
523.15,1.5,14.890834004697728
523.15,2.0,20.152654514280634
573.15,0.0,-1.1353498711674477
573.15,0.5,4.055317838643678
573.15,1.0,9.250560196771067
573.15,1.5,14.449831021419739
573.15,2.0,19.65653098213269
623.15,0.0,-1.4386320431976443
623.15,0.5,3.7049449821082594
623.15,1.0,8.854957051965705
623.15,1.5,14.015024349078473
623.15,2.0,19.178969502346984
673.15,0.0,-1.752443378596138
673.15,0.5,3.460071788998527
673.15,1.0,8.685578686472832
673.15,1.5,13.922833474102912
673.15,2.0,19.176529294442616
723.15,0.0,-2.0616567273440376
723.15,0.5,3.329917951892412
723.15,1.0,8.737151790536547
723.15,1.5,14.16647466342504
723.15,2.0,19.61888878720139
773.15,0.0,-2.348869945622498
773.15,0.5,3.2685309343884024
773.15,1.0,8.904878984257179
773.15,1.5,14.564615921983892
773.15,2.0,20.251339498842775
