THP,I,V
323.15,0.0,-0.12303827617052374
323.15,0.5,6.5406591200882245
323.15,1.0,13.213510674536893
323.15,1.5,19.898828881991367
323.15,2.0,26.59865304997525
373.15,0.0,-0.36267883234946174
373.15,0.5,6.372703690099211
373.15,1.0,13.116340412127826
373.15,1.5,19.870123942976967
373.15,2.0,26.63541034265472
423.15,0.0,-0.6742631145682315
423.15,0.5,6.164024128731666
423.15,1.0,13.014086551634607
423.15,1.5,19.880906600720866
423.15,2.0,26.768425119748223
473.15,0.0,-1.0514281664665899
473.15,0.5,5.965898644676343
473.15,1.0,12.997382672397656
473.15,1.5,20.05013384585855
473.15,2.0,27.12886751995928
523.15,0.0,-1.4890250736190982
523.15,0.5,5.662600881625053
523.15,1.0,12.83134473014255
523.15,1.5,20.015589187553562
523.15,2.0,27.22022180480869
573.15,0.0,-1.978209493998944
573.15,0.5,5.18001557883373
573.15,1.0,12.347542736797498
573.15,1.5,19.5240113057222
573.15,2.0,26.713349471389623
623.15,0.0,-2.507061984776033
623.15,0.5,4.5883745010040915
623.15,1.0,11.693223400153126
623.15,1.5,18.803012116177683
623.15,2.0,25.916976202365113
673.15,0.0,-3.060989655415394
673.15,0.5,4.031680314140469
673.15,1.0,11.137831541283136
673.15,1.5,18.255490618476237
673.15,2.0,25.390957119444472
723.15,0.0,-3.620320414464697
723.15,0.5,3.5890927584103034
723.15,1.0,10.820058485579873
723.15,1.5,18.07618355915862
723.15,2.0,25.35824410464714
773.15,0.0,-4.160594363015158
773.15,0.5,3.2657118053806093
773.15,1.0,10.722634463186015
773.15,1.5,18.20811362259647
773.15,2.0,25.735491038004767
