THP,Seebeck_Coefficient
323.15,-1.565632618266718e-05
373.15,-1.748169962100086e-05
423.15,-1.941076277471864e-05
473.15,-2.1216672204289662e-05
523.15,-2.2978795018691134e-05
573.15,-2.473786250868543e-05
623.15,-2.6422747852263097e-05
673.15,-2.7929142960146565e-05
723.15,-2.9174987769244842e-05
773.15,-3.0093845922448312e-05
