THP,Max_Power,Seebeck_Coefficient
323.15,3.3894934518638754e-07,-1.565632618266718e-05
373.15,2.5675941235526235e-06,-1.748169962100086e-05
423.15,8.670378093804397e-06,-1.941076277471864e-05
473.15,2.0345721742624378e-05,-2.1216672204289662e-05
523.15,3.950887034053715e-05,-2.2978795018691134e-05
573.15,6.888025170385649e-05,-2.473786250868543e-05
623.15,0.00011114083943469845,-2.6422747852263097e-05
673.15,0.00016612440388974651,-2.7929142960146565e-05
723.15,0.00022914418368871008,-2.9174987769244842e-05
773.15,0.00029401146744220983,-3.0093845922448312e-05
