THP,Seebeck_Coefficient
323.15,-1.5540077272210447e-05
373.15,-1.635489573561415e-05
423.15,-1.7401054612627488e-05
473.15,-1.8459125947562103e-05
523.15,-1.9509171794400885e-05
573.15,-2.055403350091485e-05
623.15,-2.1574381980076974e-05
673.15,-2.254012660436318e-05
723.15,-2.3422592993802642e-05
773.15,-2.4195188612811883e-05
