THP,I,V
323.15,0.0,-0.4661814694063105
323.15,0.5,4.380322410542114
323.15,1.0,9.226154008771752
323.15,1.5,14.074853522599902
323.15,2.0,18.92087872965805
373.15,0.0,-1.308331982553939
373.15,0.5,3.5650287592344125
373.15,1.0,8.439912777663931
373.15,1.5,13.313319982656042
373.15,2.0,18.187184982129587
423.15,0.0,-2.2620347843821142
423.15,0.5,2.646115401489142
423.15,1.0,7.555104298428895
423.15,1.5,12.463885487331508
423.15,2.0,17.37604232348415
473.15,0.0,-3.3224948233734932
473.15,0.5,1.6405196807700613
473.15,1.0,6.604808525378154
473.15,1.5,11.56876418800649
473.15,2.0,16.533657273081705
523.15,0.0,-4.486913176198393
523.15,0.5,0.5256382584929803
523.15,1.0,5.539140430809247
523.15,1.5,10.554387958923884
523.15,2.0,15.56929777406236
573.15,0.0,-5.754881089198597
573.15,0.5,-0.7179510627801253
573.15,1.0,4.320065387591982
573.15,1.5,9.360147184714164
573.15,2.0,14.399207897149271
623.15,0.0,-7.119242257717923
623.15,0.5,-2.07113357329411
623.15,1.0,2.9781867426894872
623.15,1.5,8.02749150548716
623.15,2.0,13.0797652425543
673.15,0.0,-8.564885759829385
673.15,0.5,-3.49591612178546
673.15,1.0,1.5727534734545396
673.15,1.5,6.642967666205784
673.15,2.0,11.715916683699431
723.15,0.0,-10.071291665282143
723.15,0.5,-4.963405446591488
723.15,1.0,0.14402822514095162
723.15,1.5,5.253497195007312
723.15,2.0,10.362918474205769
773.15,0.0,-11.613204620434058
773.15,0.5,-6.450600293561613
773.15,1.0,-1.2883126656298547
773.15,1.5,3.8760331058567026
773.15,2.0,9.0405623612013
