THP,delT
323.15,29.997677297893915
373.15,79.99368436571751
423.15,129.9898242992573
473.15,179.98613938095372
523.15,229.9825829066391
573.15,279.97909031258325
623.15,329.9756239038652
673.15,379.9721679606466
723.15,429.96870564241
773.15,479.96522152682047
