THP,Seebeck_Coefficient
323.15,-1.553991825612055e-05
373.15,-1.635471005167341e-05
423.15,-1.7400855840513265e-05
473.15,-1.845888252426011e-05
523.15,-1.950891340997449e-05
573.15,-2.055376031197386e-05
623.15,-2.1574126564147075e-05
673.15,-2.2539917514388713e-05
723.15,-2.3422395669413493e-05
773.15,-2.419500512889447e-05
