THP,I,V
323.15,0.0,-0.46616145308275464
323.15,0.5,2.9946987291353606
323.15,1.0,6.454852177275548
323.15,1.5,9.915048610259197
323.15,2.0,13.378072161842619
373.15,0.0,-1.3082735137663903
373.15,0.5,2.1718925189597025
373.15,1.0,5.6517507183332505
373.15,1.5,9.133447416505527
373.15,2.0,12.613552301361022
423.15,0.0,-2.261934193365024
423.15,0.5,1.2433336118652576
423.15,1.0,4.749316997090347
423.15,1.5,8.254816541929525
423.15,2.0,11.760556797645194
473.15,0.0,-3.3223430028281307
473.15,0.5,0.22253032324811517
473.15,1.0,3.7679378511582136
473.15,1.5,7.314311945781386
473.15,2.0,10.86009024823435
523.15,0.0,-4.486710295727902
523.15,0.5,-0.9059965386181402
523.15,1.0,2.675436852226272
523.15,1.5,6.258213013606082
523.15,2.0,9.839999992687176
573.15,0.0,-5.754623114649318
573.15,0.5,-2.1563326737207453
573.15,1.0,1.4417179273525476
573.15,1.5,5.040744456963463
573.15,2.0,8.64157102699778
623.15,0.0,-7.118935873185383
623.15,0.5,-3.512865201819086
623.15,1.0,0.09274618340711158
623.15,1.5,3.6996652912610526
623.15,2.0,7.306262920166025
673.15,0.0,-8.564541323596428
673.15,0.5,-4.94379199670804
673.15,1.0,-1.3234993617655388
673.15,1.5,2.2975304993627814
673.15,2.0,5.919340109557395
723.15,0.0,-10.070897149022109
723.15,0.5,-6.421775478728503
723.15,1.0,-2.7731687150105127
723.15,1.5,0.8763017496705879
723.15,2.0,4.5266687702471415
773.15,0.0,-11.61276099653239
773.15,0.5,-7.923705152983959
773.15,1.0,-4.234481998075665
773.15,1.5,-0.5458422568586526
773.15,2.0,3.144839031416248
