THP,delT
323.15,29.99934336889214
373.15,79.99821330570381
423.15,129.99711991319185
473.15,179.99607647818726
523.15,229.9950700334819
573.15,279.99408277143027
623.15,329.9931037485959
673.15,379.99212798546455
723.15,429.9911515740804
773.15,479.99016986097627
