THP,I,V
323.15,0.0,-0.46619174160802274
323.15,0.5,7.198208263452637
323.15,1.0,14.864832054401234
323.15,1.5,22.52897413171749
323.15,2.0,30.193819237252413
373.15,0.0,-1.3083574528016966
373.15,0.5,6.397571973823558
373.15,1.0,14.105399220880813
373.15,1.5,21.812634367412613
373.15,2.0,29.52161697403214
423.15,0.0,-2.2620765181773956
423.15,0.5,5.4981558765756855
423.15,1.0,13.261427086743723
423.15,1.5,21.02317221736918
423.15,2.0,28.787290949539607
473.15,0.0,-3.322536481608608
473.15,0.5,4.521980759261947
473.15,1.0,12.36670065312249
473.15,1.5,20.217721180052852
473.15,2.0,28.067831526122415
523.15,0.0,-4.486957942671175
523.15,0.5,3.433412357750663
523.15,1.0,11.356471191435684
523.15,1.5,19.280716878823704
523.15,2.0,27.21468935275756
573.15,0.0,-5.754922484641574
573.15,0.5,2.204350528896392
573.15,1.0,10.166656821879753
573.15,1.5,18.12926862698958
573.15,2.0,26.09503437505271
623.15,0.0,-7.119300876689063
623.15,0.5,0.8584363948562992
623.15,1.0,8.838066847950167
623.15,1.5,16.821247461596368
623.15,2.0,24.804561607516835
673.15,0.0,-8.564956884101388
673.15,0.5,-0.5552508193261959
673.15,1.0,7.456699037091249
673.15,1.5,15.472223647608425
673.15,2.0,23.48729618663739
723.15,0.0,-10.071368109834438
723.15,0.5,-2.0020952595207566
723.15,1.0,6.069503007501075
723.15,1.5,14.145203143027906
723.15,2.0,22.22042055042963
773.15,0.0,-11.613281070161005
773.15,0.5,-3.461026237897882
773.15,1.0,4.693947059856247
773.15,1.5,12.850414254635352
773.15,2.0,21.013043490764634
