THP,I,P
323.15,0.0,0.0
323.15,0.004101465856622884,1.6543387968790249
323.15,0.008202931713245768,2.792909092802063
323.15,0.012304397569868652,3.4157108877691127
323.15,0.016405863426491536,3.5227441817801757
323.15,0.02050732928311442,3.1140089748352504
323.15,0.024608795139737304,2.189505266934338
323.15,0.02871026099636019,0.7492330580774385
323.15,0.03281172685298307,-1.2068076517354467
323.15,0.036913192709605955,-3.6786168625043207
323.15,0.04101465856622884,-6.6661945742291815
323.15,0.045116124422851726,-10.169540786910035
323.15,0.04921759027947461,-14.188655500546872
323.15,0.05331905613609749,-18.72353871513969
323.15,0.05742052199272038,-23.774190430688506
323.15,0.06152198784934326,-29.340610647193305
323.15,0.06562345370596614,-35.42279936465409
323.15,0.06972491956258903,-42.020756583070856
323.15,0.07382638541921191,-49.134482302443615
323.15,0.07792785127583479,-56.76397652277237
323.15,0.08202931713245767,-64.9092392440571
323.15,0.08613078298908057,-73.57027046629786
323.15,0.09023224884570345,-82.74707018949455
323.15,0.09433371470232634,-92.43963841364723
323.15,0.09843518055894922,-102.64797513875595
323.15,0.1025366464155721,-113.37208036482059
323.15,0.10663811227219498,-124.61195409184124
323.15,0.11073957812881786,-136.36759631981792
323.15,0.11484104398544076,-148.63900704875059
323.15,0.11894250984206364,-161.42618627863916
323.15,0.12304397569868653,-174.7291340094838
323.15,0.1271454415553094,-188.54785024128438
323.15,0.1312469074119323,-202.88233497404093
323.15,0.13534837326855517,-217.73258820775354
323.15,0.13944983912517805,-233.09860994242203
323.15,0.14355130498180094,-248.9804001780466
323.15,0.14765277083842382,-265.37795891462713
323.15,0.1517542366950467,-282.29128615216365
323.15,0.15585570255166958,-299.72038189065614
323.15,0.15995716840829247,-317.66524613010466
323.15,0.16405863426491535,-336.1258788705091
323.15,0.16816010012153826,-355.1022801118697
323.15,0.17226156597816114,-374.59444985418617
323.15,0.17636303183478402,-394.6023880974586
323.15,0.1804644976914069,-415.126094841687
323.15,0.1845659635480298,-436.1655700868714
323.15,0.18866742940465267,-457.72081383301185
323.15,0.19276889526127555,-479.7918260801082
323.15,0.19687036111789843,-502.37860682816057
323.15,0.20097182697452132,-525.481156077169
323.15,0.2050732928311442,-549.0994738271332
323.15,0.20917475868776708,-573.2335600780536
323.15,0.21327622454438996,-597.88341482993
323.15,0.21737769040101285,-623.0490380827623
323.15,0.22147915625763573,-648.7304298365505
323.15,0.2255806221142586,-674.9275900912949
323.15,0.22968208797088152,-701.6405188469952
323.15,0.2337835538275044,-728.8692161036516
323.15,0.23788501968412729,-756.6136818612638
323.15,0.24198648554075017,-784.8739161198321
323.15,0.24608795139737305,-813.6499188793563
323.15,0.2501894172539959,-842.9416901398362
323.15,0.2542908831106188,-872.7492299012727
323.15,0.25839234896724167,-903.0725381636646
323.15,0.2624938148238646,-933.9116149270129
323.15,0.2665952806804875,-965.2664601913175
323.15,0.27069674653711034,-997.1370739565773
323.15,0.27479821239373325,-1029.5234562227936
323.15,0.2788996782503561,-1062.4256069899654
323.15,0.283001144106979,-1095.8435262580938
323.15,0.2871026099636019,-1129.777214027178
323.15,0.2912040758202248,-1164.226670297218
323.15,0.29530554167684764,-1199.191895068214
323.15,0.29940700753347055,-1234.6728883401663
323.15,0.3035084733900934,-1270.669650113074
323.15,0.3076099392467163,-1307.1821803869384
323.15,0.31171140510333917,-1344.2104791617583
323.15,0.3158128709599621,-1381.7545464375344
323.15,0.31991433681658493,-1419.8143822142663
323.15,0.32401580267320784,-1458.3899864919545
323.15,0.3281172685298307,-1497.481359270598
323.15,0.3322187343864536,-1537.0885005501984
323.15,0.3363202002430765,-1577.2114103307545
323.15,0.34042166609969937,-1617.8500886122663
323.15,0.3445231319563223,-1659.0045353947344
323.15,0.34862459781294514,-1700.674750678158
323.15,0.35272606366956805,-1742.860734462538
323.15,0.3568275295261909,-1785.562486747874
323.15,0.3609289953828138,-1828.7800075341659
323.15,0.36503046123943667,-1872.5132968214134
323.15,0.3691319270960596,-1916.7623546096174
323.15,0.37323339295268243,-1961.527180898777
323.15,0.37733485880930534,-2006.8077756888936
323.15,0.3814363246659282,-2052.604138979965
323.15,0.3855377905225511,-2098.9162707719925
323.15,0.38963925637917396,-2145.7441710649764
323.15,0.39374072223579687,-2193.0878398589166
323.15,0.3978421880924198,-2240.9472771538126
323.15,0.40194365394904263,-2289.3224829496635
323.15,0.4060451198056655,-2338.213457246471
373.15,0.0,0.0
373.15,0.004101465856622884,5.110447487109572
373.15,0.008202931713245768,9.70227195494358
373.15,0.012304397569868652,13.775473403502021
373.15,0.016405863426491536,17.330051832784896
373.15,0.02050732928311442,20.36600724279221
373.15,0.024608795139737304,22.883339633523956
373.15,0.02871026099636019,24.882049004980136
373.15,0.03281172685298307,26.362135357160753
373.15,0.036913192709605955,27.3235986900658
373.15,0.04101465856622884,27.766439003695286
373.15,0.045116124422851726,27.690656298049205
373.15,0.04921759027947461,27.096250573127556
373.15,0.05331905613609749,25.983221828930343
373.15,0.05742052199272038,24.351570065457565
373.15,0.06152198784934326,22.201295282709225
373.15,0.06562345370596614,19.532397480685322
373.15,0.06972491956258903,16.34487665938584
373.15,0.07382638541921191,12.638732818810814
373.15,0.07792785127583479,8.413965958960205
373.15,0.08202931713245767,3.6705760798340488
373.15,0.08613078298908057,-1.5914368185677095
373.15,0.09023224884570345,-7.372072736244996
373.15,0.09433371470232634,-13.671331673197868
373.15,0.09843518055894922,-20.489213629426303
373.15,0.1025366464155721,-27.825718604930284
373.15,0.10663811227219498,-35.68084659970985
373.15,0.11073957812881786,-44.05459761376496
373.15,0.11484104398544076,-52.946971647095694
373.15,0.11894250984206364,-62.35796869970193
373.15,0.12304397569868653,-72.28758877158376
373.15,0.1271454415553094,-82.73583186274115
373.15,0.1312469074119323,-93.7026979731741
373.15,0.13534837326855517,-105.18818710288258
373.15,0.13944983912517805,-117.1922992518667
373.15,0.14355130498180094,-129.71503442012633
373.15,0.14765277083842382,-142.7563926076615
373.15,0.1517542366950467,-156.31637381447229
373.15,0.15585570255166958,-170.39497804055864
373.15,0.15995716840829247,-184.99220528592053
373.15,0.16405863426491535,-200.108055550558
373.15,0.16816010012153826,-215.7425288344712
373.15,0.17226156597816114,-231.89562513765978
373.15,0.17636303183478402,-248.56734446012393
