THP,Max_Power,Seebeck_Coefficient
323.15,3.5448044772662406e-06,-1.5540064856600857e-05
373.15,2.7798912323084074e-05,-1.635483342361612e-05
423.15,8.247921065786716e-05,-1.740097411148756e-05
473.15,0.00017609306806111742,-1.8458938364755122e-05
523.15,0.0003180444762466098,-1.9508930961076597e-05
573.15,0.0005202800398812058,-2.0553728949120447e-05
623.15,0.0007943160584559674,-2.157408986980794e-05
673.15,0.0011449363063135436,-2.2539827152495683e-05
723.15,0.0015713056090460185,-2.3422268279163198e-05
773.15,0.002067945379679581,-2.419483105982079e-05
