THP,Seebeck_Coefficient
323.15,-1.5540064856600857e-05
373.15,-1.635483342361612e-05
423.15,-1.740097411148756e-05
473.15,-1.8458938364755122e-05
523.15,-1.9508930961076597e-05
573.15,-2.0553728949120447e-05
623.15,-2.157408986980794e-05
673.15,-2.2539827152495683e-05
723.15,-2.3422268279163198e-05
773.15,-2.419483105982079e-05
