THP,Max_Power_S,Max_Power_HC,Max_Power_HH,Max_Power_HM
323.15,7.858771062466893e-06,5.613046776457998e-06,3.5448044772662406e-06,4.084451481137461e-06
373.15,6.149757667014038e-05,4.390758370267189e-05,2.7798912323084074e-05,3.2034765547151786e-05
423.15,0.000182455057164308,0.00013038778505092976,8.247921065786716e-05,9.511499736411993e-05
473.15,0.0003892485939820228,0.0002780670209733685,0.00017609306806111742,0.00020304561099810886
523.15,0.0007027334394103007,0.0005021188631946392,0.0003180444762466098,0.0003665293503706704
573.15,0.0011504484503656735,0.000821920667602036,0.0005202800398812058,0.0005998869585550398
623.15,0.0017567612808233382,0.0012550062308674605,0.0007943160584559674,0.0009158355740734483
673.15,0.0025323741547277692,0.0018090349828897797,0.0011449363063135436,0.0013201394370384338
723.15,0.0034742556857836737,0.002482206986096096,0.0015713056090460185,0.0018120256489155692
773.15,0.004569349382773647,0.0032653657529388177,0.002067945379679581,0.0023849277484905116
