THP,Seebeck_Coefficient
323.15,-1.5540266220593493e-05
373.15,-1.6355103524049652e-05
423.15,-1.7401387536381883e-05
473.15,-1.8459344836343823e-05
523.15,-1.9509357743738142e-05
573.15,-2.0554230268228252e-05
623.15,-2.157460228459719e-05
673.15,-2.2540377329059377e-05
723.15,-2.3422804034489403e-05
773.15,-2.419538765505733e-05
