THP,Max_Power,Seebeck_Coefficient
323.15,4.084451481137461e-06,-1.5540266220593493e-05
373.15,3.2034765547151786e-05,-1.6355103524049652e-05
423.15,9.511499736411993e-05,-1.7401387536381883e-05
473.15,0.00020304561099810886,-1.8459344836343823e-05
523.15,0.0003665293503706704,-1.9509357743738142e-05
573.15,0.0005998869585550398,-2.0554230268228252e-05
623.15,0.0009158355740734483,-2.157460228459719e-05
673.15,0.0013201394370384338,-2.2540377329059377e-05
723.15,0.0018120256489155692,-2.3422804034489403e-05
773.15,0.0023849277484905116,-2.419538765505733e-05
